,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
331,openat,read,close,openat,fstat,fcntl,fcntl,,,,,,,,
332,readlink,mmap2,mmap2,mprotect,mmap2,mprotect,mmap2,,,,,,,,
333,mmap2,mprotect,mmap2,mprotect,mmap2,mprotect,mmap2,,,,,,,,
334,mprotect,mmap2,mprotect,mmap2,mmap2,close,munmap,,,,,,,,
335,openat,stat,openat,stat,openat,stat,writev,,,,,,,,
336,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,write,rt_sigprocmask,rt_sigaction,,,,,,,,
337,getppid,uname,stat,stat,rt_sigaction,rt_sigaction,rt_sigaction,,,,,,,,
338,close,stat,stat,stat,pipe,clone,close,,,,,,,,
339,close,openat,fcntl,dup2,close,execve,rt_sigaction,,,,,,,,
340,stat,openat,stat,openat,stat,openat,openat,,,,,,,,
341,mmap2,mprotect,mmap2,mmap2,close,mmap2,mmap2,,,,,,,,
342,brk,socket,connect,close,socket,connect,close,,,,,,,,
343,close,mprotect,openat,lseek,fstat,read,close,,,,,,,,
344,mprotect,mmap2,mmap2,close,mmap2,arch_prctl,mmap2,,,,,,,,
345,close,openat,fcntl,dup2,close,execve,brk,,,,,,,,
346,mmap2,mprotect,mmap2,mmap2,close,openat,openat,,,,,,,,
347,mmap2,mprotect,clone,prlimit64,mmap2,mprotect,clone,,,,,,,,
348,socket,bind,sendto,sendto,poll,recvfrom,recvfrom,,,,,,,,
349,poll,recvfrom,recvfrom,poll,recvfrom,close,write,,,,,,,,
350,clock_gettime,clock_gettime,nanosleep,nanosleep,epoll_wait,clock_gettime,clock_gettime,,,,,,,,
351,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,,,,,,,,
352,lseek,lseek,lseek,lseek,write,lseek,write,,,,,,,,
353,close,openat,fstat,getdents,getdents,close,openat,,,,,,,,
354,futex,futex,nanosleep,nanosleep,nanosleep,nanosleep,nanosleep,,,,,,,,
355,fstat,write,fdatasync,close,rename,openat,fstat,,,,,,,,
356,pipe,clone,close,close,stat,stat,stat,,,,,,,,
357,nanosleep,nanosleep,nanosleep,nanosleep,nanosleep,futex,futex,,,,,,,,
358,set_tid_address,set_robust_list,rt_sigaction,rt_sigaction,rt_sigprocmask,prlimit64,brk,brk,,,,,,,
359,openat,openat,fstat,fstat,read,lseek,read,close,,,,,,,
360,mprotect,readlink,mmap2,mmap2,mprotect,mmap2,mprotect,mmap2,,,,,,,
361,mmap2,mprotect,mmap2,mprotect,mmap2,mmap2,close,munmap,,,,,,,
362,stat,openat,stat,openat,stat,openat,stat,writev,,,,,,,
363,write,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,write,rt_sigprocmask,rt_sigaction,,,,,,,
364,rt_sigaction,getppid,uname,stat,stat,rt_sigaction,rt_sigaction,rt_sigaction,,,,,,,
365,dup2,close,openat,fcntl,dup2,close,execve,rt_sigaction,,,,,,,
366,openat,stat,openat,stat,openat,stat,openat,openat,,,,,,,
367,rt_sigaction,close,dup2,close,openat,fcntl,dup2,close,,,,,,,
368,mmap2,close,mprotect,openat,lseek,fstat,read,close,,,,,,,
369,dup2,close,openat,fcntl,dup2,close,execve,brk,,,,,,,
370,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,openat,,,,,,,
371,epoll_wait,clock_gettime,clock_gettime,nanosleep,nanosleep,epoll_wait,clock_gettime,clock_gettime,,,,,,,
