,0,1,2,3,4,5,6,7,8,9,10
10152,eventfd2,read,rt_sigaction,rt_sigprocmask,rt_sigprocmask,20,,,,,
10153,eventfd2,read,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,20,,,,
10154,eventfd2,read,rt_sigprocmask,rt_sigaction,20,,,,,,
10155,eventfd2,read,rt_sigprocmask,rt_sigaction,write,20,,,,,
10156,eventfd2,read,rt_sigprocmask,rt_sigprocmask,20,,,,,,
10157,eventfd2,read,rt_sigprocmask,write,20,,,,,,
10158,eventfd2,read,write,rt_sigprocmask,rt_sigprocmask,20,,,,,
10159,eventfd2,rt_sigaction,rt_sigprocmask,rt_sigprocmask,20,,,,,,
10160,eventfd2,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,20,,,,,
10161,eventfd2,rt_sigprocmask,read,rt_sigaction,rt_sigprocmask,rt_sigprocmask,20,,,,
10162,eventfd2,rt_sigprocmask,read,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,20,,,
10163,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,20,,,,,
10164,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,write,20,,,,
10165,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigprocmask,20,,,,,
10166,eventfd2,rt_sigprocmask,read,rt_sigprocmask,write,20,,,,,
10167,eventfd2,rt_sigprocmask,read,write,rt_sigprocmask,rt_sigprocmask,20,,,,
10168,eventfd2,rt_sigprocmask,rt_sigaction,rt_sigprocmask,rt_sigprocmask,20,,,,,
10169,eventfd2,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,20,,,,
10170,eventfd2,rt_sigprocmask,rt_sigprocmask,rt_sigaction,20,,,,,,
10171,eventfd2,rt_sigprocmask,rt_sigprocmask,rt_sigaction,write,20,,,,,
10172,eventfd2,rt_sigprocmask,rt_sigprocmask,rt_sigprocmask,20,,,,,,
10173,eventfd2,rt_sigprocmask,rt_sigprocmask,write,20,,,,,,
10174,eventfd2,rt_sigprocmask,write,rt_sigprocmask,rt_sigprocmask,20,,,,,
