,name
884,rt_sigprocmask
885,clone
886,close
887,read
888,close
889,rt_sigprocmask
890,execve
891,brk
892,access
893,openat
894,openat
895,stat
896,openat
897,stat
898,openat
899,stat
900,openat
901,stat
902,openat
903,stat
904,openat
905,stat
906,openat
907,stat
908,openat
909,read
910,fstat
911,mmap2
912,mmap2
913,mprotect
914,mmap2
915,mmap2
916,close
917,openat
918,read
919,fstat
920,mmap2
921,mprotect
922,mmap2
923,mmap2
924,close
925,mmap2
926,arch_prctl
927,mprotect
928,mprotect
929,mprotect
930,mprotect
931,getuid
932,brk
933,brk
934,getpid
935,rt_sigaction
936,rt_sigaction
937,getppid
938,uname
939,stat
940,stat
941,rt_sigaction
942,rt_sigaction
943,rt_sigaction
944,execve
945,write
946,write
947,write
948,exit_group
949,wait4
950,rt_sigaction
951,rt_sigaction
952,rt_sigprocmask
953,rt_sigaction
954,rt_sigaction
955,rt_sigprocmask
956,pipe2
957,rt_sigprocmask
958,clone
959,close
960,read
961,close
962,rt_sigprocmask
963,execve
964,brk
965,access
966,openat
967,openat
968,stat
969,openat
970,stat
971,openat
972,stat
973,openat
974,stat
975,openat
976,stat
977,openat
978,stat
979,openat
980,stat
981,openat
982,read
983,fstat
984,mmap2
985,mmap2
986,mprotect
987,mmap2
988,mmap2
989,close
990,openat
991,read
992,fstat
993,mmap2
994,mprotect
995,mmap2
996,mmap2
997,close
998,mmap2
999,arch_prctl
1000,mprotect
1001,mprotect
1002,mprotect
1003,mprotect
1004,getuid
1005,brk
1006,brk
1007,getpid
1008,rt_sigaction
1009,rt_sigaction
1010,getppid
1011,uname
1012,stat
1013,stat
1014,rt_sigaction
1015,rt_sigaction
1016,rt_sigaction
1017,execve
1018,write
1019,write
1020,write
1021,exit_group
1022,wait4
1023,rt_sigaction
1024,rt_sigaction
1025,rt_sigprocmask
1026,rt_sigaction
1027,rt_sigaction
1028,rt_sigprocmask
1029,pipe2
1030,rt_sigprocmask
1031,clone
1032,close
1033,read
1034,close
1035,rt_sigprocmask
1036,execve
1037,brk
1038,access
1039,openat
1040,openat
1041,stat
1042,openat
1043,stat
1044,openat
1045,stat
1046,openat
1047,stat
1048,openat
1049,stat
1050,openat
1051,stat
1052,openat
1053,stat
1054,openat
1055,read
1056,fstat
1057,mmap2
1058,mmap2
1059,mprotect
1060,mmap2
1061,mmap2
1062,close
1063,openat
1064,read
1065,fstat
1066,mmap2
1067,mprotect
1068,mmap2
